DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
40824007,Brandon Williams,PG/G/UTIL,DAL,POR,Confirmed,5600,29.25,28.67,29.25,28.67,5.119642857142857,11.76,11.758014486450762,0,100,115.4618,234.377,28.6737,22,27.25,33,36.25,41.75,48.125,28.7972,21.7,27.275,33.35,36.85,42.3525,49.6005,28.7972,21.7,27.275,33.35,36.85,42.3525,49.6005,29.122,22.3,27.7,33.5,36.75,42.2025,48.9505,8.17778,8.63704,8.63704,8.26005,14.5119,26.4714,3.67712,1.35987,1.7715,0.457125,1.31438,5.00116,1.53979,0.404292,2.24241
40824010,Wendell Carter Jr.,C/UTIL,ORL,HOU,Confirmed,5500,36,27.84,36,27.84,5.061818181818182,7.35,7.650644164587784,0,0,109.8973,225.21859999999998,27.8398,22.375,27.625,33.125,36.25,41.5,48.125,28.044,22.3,27.95,33.6125,37,42.5,49.45,28.044,22.3,27.95,33.6125,37,42.5,49.45,28.1656,22.6,28.05,33.55,36.9,42.2,48.7015,8.01954,8.41218,8.41218,8.17899,10.8701,29.9715,3.05075,0.977835,7.95966,2.04541,5.91425,2.49334,1.06509,0.717834,1.28691
40824002,Kevin Huerter,SG/SF/F/G/UTIL,CHI,UTA,Confirmed,5700,22.5,27.73,22.5,27.73,4.864912280701755,1.37,1.7376368492709853,0,0,123.2552,242.0745,27.7293,22.25,27.625,33.625,36.875,42.75,49.875,27.9607,22.2,27.85,34,37.35,43.2525,50.6015,27.9607,22.2,27.85,34,37.35,43.2525,50.6015,27.7245,22.2,27.65,33.45,36.75,42.4525,49.701,8.49001,8.7458,8.7458,8.40501,13.2515,26.1996,2.49392,2.47416,3.51642,0.7635,2.75292,3.56792,1.71442,0.530917,1.231
40824037,Saddiq Bey,SF/PF/F/UTIL,NOP,GSW,Confirmed,5200,25.25,27.27,23.25,27.27,5.24423076923077,15.33,14.82417994929121,0,0,110.1812,228.6794,27.2708,22,27.75,33.875,37.125,42.875,50,26.4751,21.25,27,33,36.3,41.75,48.9515,26.4751,21.25,27,33,36.3,41.75,48.9515,26.5701,21.5,27.05,32.95,36.1,41.55,48.3505,8.70604,8.60025,8.60025,8.38983,15.0358,28.906,2.5735,2.24075,5.37641,1.5075,3.86892,2.29158,0.946666,0.196084,1.04675
40824045,Jeremiah Fears,PG/G/UTIL,NOP,GSW,Confirmed,5100,24.75,27.25,25.25,27.25,5.343137254901961,19.88,18.86688655099486,0,100,110.1812,228.6794,27.2457,21.5,27.1875,33.125,36.375,42.25,49.1263,26.6293,20.725,26.55,32.75,36.1,42.0025,48.8505,26.6293,20.725,26.55,32.75,36.1,42.0025,48.8505,27.1534,21.45,27.05,33,36.2,41.9025,48.701,8.52576,8.7669,8.7669,8.44367,16.1221,27.8204,4.36983,1.63733,2.342,0.638,1.704,3.8665,1.31042,0.19175,2.2765
40823990,Royce O'Neale,PF/F/UTIL,PHX,ATL,Confirmed,5900,12.5,27.07,12.5,27.07,4.588135593220339,1.57,1.9219970421391406,0,0,113.8815,226.703,27.072,21.375,26.75,32.625,35.875,41.2562,48.25,26.6354,20.9,26.4,32.15,35.45,40.9,48.1505,26.6354,20.9,26.4,32.15,35.45,40.9,48.1505,26.7268,21.15,26.45,32.05,35.3,40.5025,47.501,8.28794,8.3507,8.3507,8.08726,11.7889,29.3023,1.11992,2.76908,4.97242,1.04783,3.92459,3.11508,1.17942,0.7085,1.31917
40824085,Anthony Black,PG/SG/G/UTIL,ORL,HOU,Confirmed,4600,31.25,26.42,31.25,26.42,5.743478260869566,27.52,25.226690168316576,0,100,109.8973,225.21859999999998,26.4233,21.125,26.625,32.375,35.75,41.25,47.7513,26.844,21.15,27.15,33.4,36.8,43.05,50.102,26.844,21.15,27.15,33.4,36.8,43.05,50.102,27.1757,21.7,27.4,33.4,36.6575,42.55,49.4505,8.33416,8.99349,8.99349,8.58247,12.5712,29.3664,3.19725,1.34058,3.62225,0.937917,2.68433,3.5565,1.81009,0.71525,2.36441
40823968,Brandin Podziemski,PG/SG/G/UTIL,GSW,NOP,,6400,28.75,26.36,28.75,26.36,4.11875,0.22,0.3304493878307851,0,0,118.4982,228.6794,26.3605,20.125,25.375,30.875,33.875,39.25,45.375,25.7052,19.45,24.65,30.05,33.3,38.5,44.7505,25.7052,19.45,24.65,30.05,33.3,38.5,44.7505,25.9195,19.8,24.9,30.2125,33.35,38.3025,44.45,7.8433,7.85896,7.85896,7.63483,12.8444,23.9308,3.17291,1.79559,4.73258,0.989167,3.74342,2.98342,0.981417,0.189416,1.49458
40824048,Herbert Jones,SF/F/UTIL,NOP,GSW,Confirmed,5000,13,26.33,13,26.33,5.266,15.33,14.831796374998538,0,100,110.1812,228.6794,26.3281,21.125,26.625,32.5,35.625,41.25,47.2513,26.3997,21.1,26.825,32.75,36.4,42.25,48.4,26.3997,21.1,26.825,32.75,36.4,42.25,48.4,26.6847,21.5,27.05,32.8,36.1,41.7525,47.8005,8.27796,8.71169,8.71169,8.35923,12.998,32.6795,3.01858,1.52316,3.80659,1.04141,2.76517,3.44092,1.58,0.57175,2.01667
40824016,Jabari Smith Jr.,PF/F/UTIL,HOU,ORL,Confirmed,5400,28.5,26.27,28.5,26.27,4.864814814814815,7.12,7.444147901792524,0,100,115.3213,225.21859999999998,26.2722,20.25,25.375,30.875,33.875,39.375,45,25.5681,19.5,24.7,30.15,33.1,38.4,44.201,25.5681,19.5,24.7,30.15,33.1,38.4,44.201,25.8723,19.95,24.95,30.3125,33.25,38.4,44.25,7.7929,7.77753,7.77753,7.61582,14.4004,31.5308,2.97408,2.09717,5.69725,1.22933,4.46792,0.962585,0.5725,0.612167,1.22017
