entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3612560812","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145329:Paul Reed,123147-145329,C,Paul,Paul Reed,Reed,19.46363691850142,11,5800,IND@DET,DET,IND,,,,,,C
"3612560813","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-203761:Matas Buzelis,123147-203761,PF/SF,Matas,Matas Buzelis,Buzelis,27.566665649414062,12,5800,CHI@DEN,CHI,DEN,,,,,,SF/PF
"3612560814","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-188419:Brandon Miller,123147-188419,SF/SG,Brandon,Brandon Miller,Miller,22,2,5700,CHA@TOR,CHA,TOR,O,Shoulder,,,,SG/SF
"3612560815","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-15557:Andre Drummond,123147-15557,C,Andre,Andre Drummond,Drummond,24.172726717862215,11,5700,LAC@PHI,PHI,LAC,,,,,,C
"3612560816","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-84681:Donte DiVincenzo,123147-84681,SG/PG,Donte,Donte DiVincenzo,DiVincenzo,27.153846153846153,13,5700,DAL@MIN,MIN,DAL,,,,,,PG/SG
"3612560817","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110325:Daniel Gafford,123147-110325,C,Daniel,Daniel Gafford,Gafford,25.955556233723957,9,5700,DAL@MIN,DAL,MIN,O,Ankle,,,,C
"3612560819","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-228131:Jeremiah Fears,123147-228131,PG,Jeremiah,Jeremiah Fears,Fears,25.923076923076923,13,5700,OKC@NO,NO,OKC,,,,,,PG
"3612560821","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157812:Davion Mitchell,123147-157812,PG,Davion,Davion Mitchell,Mitchell,27.76153799203726,13,5600,NY@MIA,MIA,NY,,,,,,PG
"3612560822","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-84667:Collin Sexton,123147-84667,SG/PG,Collin,Collin Sexton,Sexton,24.96666717529297,12,5600,CHA@TOR,CHA,TOR,,,,,,PG/SG
"3612560823","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-84704:Kevin Huerter,123147-84704,SF/SG,Kevin,Kevin Huerter,Huerter,27.725001017252605,12,5600,CHI@DEN,CHI,DEN,,,,,,SG/SF
"3612560824","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171761:Peyton Watson,123147-171761,PF,Peyton,Peyton Watson,Watson,18.650000254313152,12,5600,CHI@DEN,DEN,CHI,,,,,,PF
"3612560825","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157824:Miles McBride,123147-157824,PG/SG,Miles,Miles McBride,McBride,17.86999969482422,10,5500,NY@MIA,NY,MIA,,,,,,PG/SG
"3612560826","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-163978:Brandon Williams,123147-163978,PG,Brandon,Brandon Williams,Williams,22.149998982747395,12,5500,DAL@MIN,DAL,MIN,,,,,,PG
"3612560827","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-228132:Derik Queen,123147-228132,PF/C,Derik,Derik Queen,Queen,24.52307598407452,13,5500,OKC@NO,NO,OKC,,,,,,PF/C
"3612560828","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145307:Isaiah Stewart,123147-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,26.589999389648437,10,5500,IND@DET,DET,IND,,,,,,PF/C
"3612560829","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145323:Tre Jones,123147-145323,SG/PG,Tre,Tre Jones,Jones,31.436362526633523,11,5500,CHI@DEN,CHI,DEN,D,Ankle,,,,PG/SG
"3612560830","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-58312:D'Angelo Russell,123147-58312,PG,D'Angelo,D'Angelo Russell,Russell,22.964285714285715,14,5500,DAL@MIN,DAL,MIN,,,,,,PG
"3612560831","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-58377:Kyle Kuzma,123147-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,24.18461491511418,13,5400,MIL@CLE,MIL,CLE,,,,,,SF/PF
"3612560832","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-14518:Tobias Harris,123147-14518,PF/SF,Tobias,Tobias Harris,Harris,26.616666158040363,6,5400,IND@DET,DET,IND,O,Ankle,,,,SF/PF
"3612560833","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110995:Naz Reid,123147-110995,C/PF,Naz,Naz Reid,Reid,25.77692354642428,13,5400,DAL@MIN,MIN,DAL,,,,,,PF/C
"3612560834","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145328:Saddiq Bey,123147-145328,SF/PF,Saddiq,Saddiq Bey,Bey,22.72307645357572,13,5400,OKC@NO,NO,OKC,,,,,,SF/PF
"3612560835","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-85137:Duncan Robinson,123147-85137,SG/SF,Duncan,Duncan Robinson,Robinson,21.45384568434495,13,5300,IND@DET,DET,IND,,,,,,SG/SF
"3612560836","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-20640:Jordan Clarkson,123147-20640,SG/PG,Jordan,Jordan Clarkson,Clarkson,15.391666412353516,12,5300,NY@MIA,NY,MIA,,,,,,PG/SG
"3612560837","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-145819:Naji Marshall,123147-145819,SF/PF,Naji,Naji Marshall,Marshall,23.985713413783483,14,5300,DAL@MIN,DAL,MIN,,,,,,SF/PF
"3612560839","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157849:Ayo Dosunmu,123147-157849,SG,Ayo,Ayo Dosunmu,Dosunmu,23.980000305175782,10,5200,CHI@DEN,CHI,DEN,P,Hamstring,,,,SG
"3612560840","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171751:Max Christie,123147-171751,SF/SG,Max,Max Christie,Christie,23.571428571428573,14,5200,DAL@MIN,DAL,MIN,,,,,,SG/SF
"3612560841","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-203728:Jaylon Tyson,123147-203728,SF,Jaylon,Jaylon Tyson,Tyson,23.890907981178977,11,5200,MIL@CLE,CLE,MIL,O,Concussion,,,,SF
"3612560842","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-203762:Ronald Holland,123147-203762,PF/SF,Ronald,Ronald Holland,Holland,20.76923076923077,13,5200,IND@DET,DET,IND,,,,,,SF/PF
"3612560843","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-112709:Javonte Green,123147-112709,SF,Javonte,Javonte Green,Green,17.576923076923077,13,5100,IND@DET,DET,IND,,,,,,SF
"3612560844","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-66236:John Collins,123147-66236,PF/C,John,John Collins,Collins,20.96153846153846,13,5100,LAC@PHI,LAC,PHI,,,,,,PF/C
